Customer Name,SurveyID for external use (e.g. tech support),Club's Name,Social Media Source,Creation Date,Comment,Overall Score
**,79afvrdtnsr6wj7hj2vza2kh,Miami Wellness,Instagram,09/24/24 23:09,"Treatment quality was exceptional, the doctor explained every step clearly.",5
**,fzuv2ptiz7w3yql1pnlyv75w,Manchester Health Hub,Twitter,10/08/25 16:38,"Waiting time was minimal, I was seen within 10 minutes of arrival.",2
**,4a5cgckdtsxdyftoum5udhc4,Chicago Health Hub,Facebook,03/07/24 18:03,"Treatment quality was exceptional, the doctor explained every step clearly.",4
**,g6zftbchef4hhuipix0zxa3c,New York Clinic,Google Reviews,04/16/24 19:57,Prices for the consultation were too high compared to other clinics.,5
**,xxm6wwb6pr5y0h2xzt569xal,Manchester Health Hub,Facebook,06/19/24 15:17,"Waiting time was minimal, I was seen within 10 minutes of arrival.",3
**,q2xhui23b8ltbpq2d7its89w,Dallas Care,Instagram,09/18/25 18:30,"Nurse was rude and dismissive, barely answered my questions.",3
**,9f8a8st905bsc3fntgqqiv9r,Birmingham Wellness,Google Reviews,07/18/25 02:37,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",5
**,515xvkf1vhfxrhdzct45pxo8,Liverpool Care Center,Facebook,11/26/24 11:44,Nurse was extremely friendly and made me feel comfortable during the procedure.,5
**,brf1bud9zdbjb4rjkwbkcb7d,Dallas Care,Facebook,09/26/24 22:25,"Hospital cleanliness was impressive, everything looked spotless and sanitized.",4
**,e0d3vjs50rex39czzgjv4znv,Manchester Health Hub,Instagram,04/15/25 14:32,Prices for the consultation were too high compared to other clinics.,4
**,q6zkenwy4i7m8lkwxfr8p18m,Cambridge Leisure Park,Instagram,11/18/24 09:23,"Treatment quality was exceptional, the doctor explained every step clearly.",4
**,zek6h7gh56wneoucpmzvpb46,Miami Wellness,Instagram,03/02/24 01:50,"Parking was a nightmare, spent 30 minutes looking for a spot before my appointment.",5
**,hiefqq4zhj44j361lj6wq0iu,Miami Wellness,Twitter,10/04/25 17:05,"Waiting times were too long, had to wait over an hour past my scheduled time.",4
**,7mpq6jme7cqcibffamf345oo,London Holborn,Twitter,01/30/24 07:33,"Waiting time was minimal, I was seen within 10 minutes of arrival.",2
**,mk138j55f8bvsr43scrgnmt1,Liverpool Care Center,Google Reviews,01/28/25 19:06,Prices for the consultation were too high compared to other clinics.,5
**,uevg7j9wtsju4o4dngsqalnj,Los Angeles Center,Google Reviews,04/14/25 03:00,"Treatment quality was exceptional, the doctor explained every step clearly.",3
**,nb48ew04f114eg08buzoycmc,Dallas Care,Twitter,10/13/24 04:12,"Waiting times were too long, had to wait over an hour past my scheduled time.",5
**,tyhy99r15a5y1z8fowpxcmbj,Dallas Care,Instagram,10/24/24 00:48,"Communication was clear and timely, received all updates via SMS and email.",4
